"keys","en"
"str_ccb_all_mods","All external MODs"
"str_ccb_search","Search MOD / author"
"str_ccb_refresh","Refresh"
"str_ccb_website","MOD website"
"str_ccb_submit","Submit a MOD"
"str_ccb_catalog_empty","No catalog available. Refresh or check the MOD website."
"str_ccb_no_matches","No matching MODs. Community authors can use Submit a MOD."
"str_ccb_activation_hint","After installing, enable MODs in a new game world. Use a test save and trusted sources."
"str_ccb_play_notes","How to play:"
"str_ccb_passed","Verified for this game version"
"str_ccb_failed","Validation failed"
"str_ccb_not-tested","Not verified for this game version"
"str_ccb_version-mismatch","Game version not listed"
"str_ccb_api-mismatch","Lua API mismatch"
"str_ccb_current_compatibility","Current game"
"msg_ccb_replace_failed","Could not replace %s. The existing MOD has been kept or restored."
"msg_ccb_restore_failed","Could not restore the old MOD automatically. Recover it from: %s"
"rbtn_ccb_candidates","Experimental / Candidate"
,
"lbl_installed_mods","Installed%s:"
"str_installed_mods_hidden"," (%s hidden)"
"lbl_mod_repo","Downloadable%s:"
"str_mod_repo_hidden"," (%s hidden)"
"cbtn_stock_mods","Show stock"
"btn_delete_mods","Delete Selected"
"cbtn_installed_mods","Show already installed"
"btn_add_sel_mods","Add Selected"
"btn_add_all_mods","Add All"
"lbl_mod_info","Select a mod in either list to see its details here."
"str_mod_name","Name:"
"str_mod_authors","Authors:"
"str_mod_maintainers","Maintainers:"
"str_mod_dependencies","Dependencies:"
"str_mod_conflicts","Conflicts:"
"str_update_available","update available"
"str_date_unavailable","date unavailable"
"str_mod_url","Mod URL:"
"str_mod_category","Category:"
"str_mod_stability","Mod Stability:"
"str_mod_description","Description:"
"str_mod_type","Maintenance:"
"str_type_ccb_maintained","CCB maintained"
"str_type_community","Community maintained"
"str_mod_version","MOD version:"
"str_ccb_versions","Supported CCB:"
"str_lua_api","Lua API:"
"str_ccb_adapters","CCB adapters:"
"str_license","License:"
"str_validation","Validation:"
"str_validation_passed","VERIFIED"
"str_validation_failed","FAILED"
"str_validation_not_tested","NOT TESTED"
"str_issues","Report issues:"
"str_none","None"
,
"tooltip_mod_location","Location: %s"
"tooltip_stock_mods","Show mods from data/mods on this list."
"tooltip_installed_mods","Show already installed mods on this list\nin case you want to re-install them."
"tooltip_delete_mods","Remove selected mods from your game installation."
"tooltip_add_sel_mods","Add selected mods to your game installation."
"tooltip_add_all_mods","Add all listed mods to your game installation."
,
"msg_one_mod_is_stock","One of the selected mods is stock and cannot be deleted."
"msg_n_mods_are_stock","%s of the selected mods are stock and cannot be deleted."
"dlg_deleting_n_mods_title","Confirm Deletion"
"dlg_deleting_n_mods_text","Deleting %s mods."
"msg_mod_install_one_mod_skipped","One mod already comes with the game, so it will not be installed."
"msg_mod_install_n_mods_skipped","%s mods already come with the game, so they will not be installed."
"msg_mod_missing_dependencies","Missing dependencies (install them first): %s"
"msg_mod_active_conflicts","Known conflicts are installed or selected: %s"
"msg_mod_incompatible","These MODs may not support the current game version: %s"
