"keys","zh"
"str_ccb_all_mods","全部外部 MOD"
"str_ccb_search","搜索 MOD / 作者"
"str_ccb_refresh","刷新"
"str_ccb_website","MOD 网站"
"str_ccb_submit","申请收录"
"str_ccb_catalog_empty","暂无可用目录。请刷新，或打开 MOD 网站检查。"
"str_ccb_no_matches","此分类没有匹配的 MOD；民间作者可点击申请收录。"
"str_ccb_activation_hint","安装后请在游戏中新建世界并启用 MOD；先用测试存档。只安装信任的来源。"
"str_ccb_play_notes","怎么玩："
"str_ccb_passed","已在当前游戏版本验证"
"str_ccb_failed","验证失败"
"str_ccb_not-tested","未在当前游戏版本验证"
"str_ccb_version-mismatch","未声明支持当前游戏版本"
"str_ccb_api-mismatch","Lua API 不匹配"
"str_ccb_current_compatibility","当前游戏适配情况"
"msg_ccb_replace_failed","无法替换 %s，原 MOD 已保留或恢复。"
"msg_ccb_restore_failed","无法自动恢复原 MOD，请从此目录恢复：%s"
"rbtn_ccb_candidates","实验版 / 候选版"
,
"lbl_installed_mods","已安装%s："
"str_installed_mods_hidden","（%s 隐藏）"
"lbl_mod_repo","本地存储%s："
"str_mod_repo_hidden","（%s 隐藏）"
"cbtn_stock_mods","展示基础模组"
"btn_delete_mods","删除该项"
"cbtn_installed_mods","展示已安装"
"btn_add_sel_mods","添加所选"
"btn_add_all_mods","全部添加"
"lbl_mod_info","选择一个mod来查看详情。"
"str_mod_name","名称："
"str_mod_authors","作者："
"str_mod_maintainers","维护者："
"str_mod_dependencies","依赖："
"str_mod_conflicts","冲突："
"str_update_available","有可用更新"
"str_date_unavailable","更新时间未知"
"str_mod_url","模组链接："
"str_mod_category","分类："
"str_mod_stability","模组稳定性："
"str_mod_description","描述："
"str_mod_type","维护方式："
"str_type_ccb_maintained","CCB 维护"
"str_type_community","民间维护"
"str_mod_version","MOD 版本："
"str_ccb_versions","适配 CCB："
"str_lua_api","Lua API："
"str_ccb_adapters","CCB 适配人："
"str_license","许可证："
"str_validation","验证状态："
"str_validation_passed","已验证"
"str_validation_failed","验证失败"
"str_validation_not_tested","未验证"
"str_issues","问题反馈："
"str_none","暂无"
,
"tooltip_mod_location","位置：%s"
"tooltip_stock_mods","显示该列表下data/mods里的模组。"
"tooltip_installed_mods","显示该列表已安装的模组 （您可以重新安装）。"
"tooltip_delete_mods","从游戏中删除该模组。"
"tooltip_add_sel_mods","将该模组添加至游戏。"
"tooltip_add_all_mods","将该列表下的所有模组添加至游戏。"
,
"msg_one_mod_is_stock","选中模组有一个是基础模组，无法被删除。"
"msg_n_mods_are_stock","选中模组有%s个是基础模组，无法被删除。"
"dlg_deleting_n_mods_title","确认删除"
"dlg_deleting_n_mods_text","正在删除%s个模组。"
"msg_mod_install_one_mod_skipped","一个模组是游戏内置模组，将不会被安装。"
"msg_mod_install_n_mods_skipped","%s个模组是游戏内置模组，将不会被安装。 "
"msg_mod_missing_dependencies","缺少依赖，请先安装：%s"
"msg_mod_active_conflicts","已安装或已选择存在已知冲突的 MOD：%s"
"msg_mod_incompatible","以下 MOD 可能不支持当前游戏版本：%s"
